2021-03-19 13:32:30   {'速度': '50KM/H', '电流': '1A', '油门': '1%', '发动机转速': '60r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:29.842416', '电压': '1', 'state': True}
2021-03-19 13:32:31   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:30.848715', '电压': '1', 'state': True}
2021-03-19 13:32:32   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:31.849844', '电压': '1', 'state': True}
2021-03-19 13:32:33   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:32.851733', '电压': '1', 'state': True}
2021-03-19 13:32:34   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:33.857105', '电压': '1', 'state': True}
2021-03-19 13:32:35   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:34.861091', '电压': '1', 'state': True}
2021-03-19 13:32:36   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:35.862515', '电压': '1', 'state': True}
2021-03-19 13:32:37   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:36.864496', '电压': '1', 'state': True}
2021-03-19 13:32:38   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:37.865888', '电压': '1', 'state': True}
2021-03-19 13:32:39   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:38.867323', '电压': '1', 'state': True}
2021-03-19 13:32:40   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:39.869772', '电压': '1', 'state': True}
